Team Name,Tracks,Team ID
Mochampions LLC,"Best Arcade Hack (most arcade-themed), Best Developer Tool *Sponsored by Warp*, Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",encouraged-christianity-cried-sternly-first
Hang and Mia,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)",irrational-saloon-rejected-violently-prhi-first
Paw and Order,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",partisan-quorum-return-obediently-first
Serena & Karina Code,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of MongoDB Atlas (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)",congressional-mowing-landed-highly-first
Codex,"Best Use of AWS (requires usage of AWS!), Best Developer Tool *Sponsored by Warp*, Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",haughty-boar-scrubbed-wildly
Jubilant Game Devs,Best Arcade Hack (most arcade-themed),gilded-creator-bake-rigidly-first
Kaizen,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",halfbreed-hardship-relax-merrily
Friend Graph,"Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH)",dumb-commissioner-chew-loudly
Stacked & Loaded,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",oncoming-dossier-print-fortunately-first
Northeastern Undergraduate Engineers,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",utter-clothing-fixed-playfully
BiteQuest,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH)",responsible-solemnity-rinse-wetly
